n,partie_imaginaire,sauvegarde_le
463,763.5930661728372,2026-04-25T17:52:09.588267
464,764.3075227241803,2026-04-25T17:52:09.588267
465,766.0875400998361,2026-04-25T17:52:09.588267
466,767.2184721555395,2026-04-25T17:52:09.588267
467,768.2814618065092,2026-04-25T17:52:09.588267
468,769.6934072526244,2026-04-25T17:52:09.588267
469,771.0708393136783,2026-04-25T17:52:09.588267
470,772.9616175657571,2026-04-25T17:52:09.588267
471,774.1177446279404,2026-04-25T17:52:09.588267
472,775.0478470965805,2026-04-25T17:52:09.588267
473,775.9997119631715,2026-04-25T17:52:09.588267
474,777.2997485295926,2026-04-25T17:52:09.588267
475,779.157076949189,2026-04-25T17:52:09.588267
476,780.3489250041818,2026-04-25T17:52:09.588267
477,782.137664390812,2026-04-25T17:52:09.588267
478,782.5979439460735,2026-04-25T17:52:09.588267
479,784.2888226124655,2026-04-25T17:52:09.588267
480,785.7390897007151,2026-04-25T17:52:09.588267
481,786.4611474505062,2026-04-25T17:52:09.588267
482,787.4684638159101,2026-04-25T17:52:09.588267
483,790.0590923641196,2026-04-25T17:52:09.588267
484,790.8316204679211,2026-04-25T17:52:09.588267
485,792.4277076086045,2026-04-25T17:52:09.588267
486,792.8886525626225,2026-04-25T17:52:09.588267
487,794.4837918698931,2026-04-25T17:52:09.588267
488,795.6065961561624,2026-04-25T17:52:09.588267
489,797.2634700380356,2026-04-25T17:52:09.588267
490,798.7075701662963,2026-04-25T17:52:09.588267
491,799.6543362108977,2026-04-25T17:52:09.588267
492,801.6042464629821,2026-04-25T17:52:09.588267
493,802.5419848784181,2026-04-25T17:52:09.588267
494,803.2430962042703,2026-04-25T17:52:09.588267
495,804.7622391126617,2026-04-25T17:52:09.588267
496,805.8616356670949,2026-04-25T17:52:09.588267
497,808.1518149359937,2026-04-25T17:52:09.588267
498,809.1977833633008,2026-04-25T17:52:09.588267
499,810.0818048864071,2026-04-25T17:52:09.588267
500,811.1843588465064,2026-04-25T17:52:09.588267
501,812.7711083891094,2026-04-25T17:52:09.588267
502,814.0459136075109,2026-04-25T17:52:09.588267
503,814.8705396258725,2026-04-25T17:52:09.588267
504,816.7277377143946,2026-04-25T17:52:09.588267
505,818.3806688663617,2026-04-25T17:52:09.588267
506,819.204642170824,2026-04-25T17:52:09.588267
507,820.7218984438693,2026-04-25T17:52:09.588267
508,821.7134541333794,2026-04-25T17:52:09.588267
509,822.1977574934043,2026-04-25T17:52:09.588267
510,824.5262938716297,2026-04-25T17:52:09.588267
511,826.0392873765744,2026-04-25T17:52:09.588267
512,826.9058109540808,2026-04-25T17:52:09.588267
513,828.3401743004899,2026-04-25T17:52:09.588267
514,829.4370109683094,2026-04-25T17:52:09.588267
515,830.8958840533174,2026-04-25T17:52:09.588267
516,831.7997776590706,2026-04-25T17:52:09.588267
517,833.0036409091542,2026-04-25T17:52:09.588267
518,834.6519151478257,2026-04-25T17:52:09.588267
519,836.6935761875918,2026-04-25T17:52:09.588267
520,837.3473350595315,2026-04-25T17:52:09.588267
521,838.2490219927322,2026-04-25T17:52:09.588267
522,839.4653948102824,2026-04-25T17:52:09.588267
523,841.0363898290135,2026-04-25T17:52:09.588267
524,842.0413542065263,2026-04-25T17:52:09.588267
525,844.1661966073507,2026-04-25T17:52:09.588267
526,844.8059939757637,2026-04-25T17:52:09.588267
527,846.1947699276941,2026-04-25T17:52:09.588267
528,847.9717176395119,2026-04-25T17:52:09.588267
529,848.4892811809435,2026-04-25T17:52:09.588267
530,849.8622743486977,2026-04-25T17:52:09.588267
531,850.6454484660042,2026-04-25T17:52:09.588267
532,853.1631125833892,2026-04-25T17:52:09.588267
533,854.0955117198691,2026-04-25T17:52:09.588267
534,855.286710244405,2026-04-25T17:52:09.588267
535,856.4841174907916,2026-04-25T17:52:09.588267
536,857.3107406026038,2026-04-25T17:52:09.588267
