n,partie_imaginaire,T_MAX,methode,precision_dps,calcule_le
308,553.7649721191588,10000.0,Hardy-Z + Illinois,50,20260424_205325
309,555.7920205616825,10000.0,Hardy-Z + Illinois,50,20260424_205325
310,556.8994764068555,10000.0,Hardy-Z + Illinois,50,20260424_205325
311,557.5646591720584,10000.0,Hardy-Z + Illinois,50,20260424_205325
312,559.3162370286822,10000.0,Hardy-Z + Illinois,50,20260424_205325
313,560.2408074972956,10000.0,Hardy-Z + Illinois,50,20260424_205325
314,562.5592076160459,10000.0,Hardy-Z + Illinois,50,20260424_205325
315,564.160879110786,10000.0,Hardy-Z + Illinois,50,20260424_205325
316,564.5060559381498,10000.0,Hardy-Z + Illinois,50,20260424_205325
317,566.6987876828078,10000.0,Hardy-Z + Illinois,50,20260424_205325
318,567.731757901177,10000.0,Hardy-Z + Illinois,50,20260424_205325
319,568.9239551796294,10000.0,Hardy-Z + Illinois,50,20260424_205325
320,570.0511147824635,10000.0,Hardy-Z + Illinois,50,20260424_205325
321,572.4199841324528,10000.0,Hardy-Z + Illinois,50,20260424_205325
322,573.6146105267582,10000.0,Hardy-Z + Illinois,50,20260424_205325
323,575.0938860144948,10000.0,Hardy-Z + Illinois,50,20260424_205325
324,575.8072471409288,10000.0,Hardy-Z + Illinois,50,20260424_205325
325,577.0390034720982,10000.0,Hardy-Z + Illinois,50,20260424_205325
326,579.0988346720366,10000.0,Hardy-Z + Illinois,50,20260424_205325
327,580.1369593623846,10000.0,Hardy-Z + Illinois,50,20260424_205325
328,581.9465762659016,10000.0,Hardy-Z + Illinois,50,20260424_205325
329,583.2360882191673,10000.0,Hardy-Z + Illinois,50,20260424_205325
330,584.5617059034656,10000.0,Hardy-Z + Illinois,50,20260424_205325
331,585.9845632049884,10000.0,Hardy-Z + Illinois,50,20260424_205325
332,586.7427718912502,10000.0,Hardy-Z + Illinois,50,20260424_205325
333,588.139663266248,10000.0,Hardy-Z + Illinois,50,20260424_205325
334,590.6603975167652,10000.0,Hardy-Z + Illinois,50,20260424_205325
335,591.7258580650481,10000.0,Hardy-Z + Illinois,50,20260424_205325
336,592.5713583002256,10000.0,Hardy-Z + Illinois,50,20260424_205325
337,593.974714682231,10000.0,Hardy-Z + Illinois,50,20260424_205325
338,595.728153697389,10000.0,Hardy-Z + Illinois,50,20260424_205325
339,596.3627683283936,10000.0,Hardy-Z + Illinois,50,20260424_205325
340,598.4930773461648,10000.0,Hardy-Z + Illinois,50,20260424_205325
341,599.5456403643649,10000.0,Hardy-Z + Illinois,50,20260424_205325
342,601.6021367359327,10000.0,Hardy-Z + Illinois,50,20260424_205325
343,602.5791678863873,10000.0,Hardy-Z + Illinois,50,20260424_205325
344,603.6256189035793,10000.0,Hardy-Z + Illinois,50,20260424_205325
345,604.6162184937533,10000.0,Hardy-Z + Illinois,50,20260424_205325
346,606.383460422109,10000.0,Hardy-Z + Illinois,50,20260424_205325
347,608.4132173111873,10000.0,Hardy-Z + Illinois,50,20260424_205325
348,609.38957515472,10000.0,Hardy-Z + Illinois,50,20260424_205325
349,610.8391629377394,10000.0,Hardy-Z + Illinois,50,20260424_205325
350,611.7742096208873,10000.0,Hardy-Z + Illinois,50,20260424_205325
351,613.5997786756371,10000.0,Hardy-Z + Illinois,50,20260424_205325
352,614.6462378722326,10000.0,Hardy-Z + Illinois,50,20260424_205325
353,615.538563369407,10000.0,Hardy-Z + Illinois,50,20260424_205325
354,618.1128313664423,10000.0,Hardy-Z + Illinois,50,20260424_205325
355,619.1844825979535,10000.0,Hardy-Z + Illinois,50,20260424_205325
356,620.2728936722275,10000.0,Hardy-Z + Illinois,50,20260424_205325
357,621.7092945279487,10000.0,Hardy-Z + Illinois,50,20260424_205325
358,622.375002739779,10000.0,Hardy-Z + Illinois,50,20260424_205325
359,624.269900018178,10000.0,Hardy-Z + Illinois,50,20260424_205325
360,626.0192834276543,10000.0,Hardy-Z + Illinois,50,20260424_205325
361,627.268396850783,10000.0,Hardy-Z + Illinois,50,20260424_205325
362,628.3258623594604,10000.0,Hardy-Z + Illinois,50,20260424_205325
363,630.4738874382921,10000.0,Hardy-Z + Illinois,50,20260424_205325
364,630.8057809271976,10000.0,Hardy-Z + Illinois,50,20260424_205325
365,632.225141167116,10000.0,Hardy-Z + Illinois,50,20260424_205325
366,633.5468582522517,10000.0,Hardy-Z + Illinois,50,20260424_205325
367,635.5238003106056,10000.0,Hardy-Z + Illinois,50,20260424_205325
368,637.3971931598372,10000.0,Hardy-Z + Illinois,50,20260424_205325
369,637.9255139808226,10000.0,Hardy-Z + Illinois,50,20260424_205325
370,638.9279382668568,10000.0,Hardy-Z + Illinois,50,20260424_205325
371,640.6947946688256,10000.0,Hardy-Z + Illinois,50,20260424_205325
372,641.9454996657054,10000.0,Hardy-Z + Illinois,50,20260424_205325
373,643.2788837813979,10000.0,Hardy-Z + Illinois,50,20260424_205325
374,644.9905782297479,10000.0,Hardy-Z + Illinois,50,20260424_205325
