n,partie_imaginaire,T_MAX,methode,n_workers,precision_dps,calcule_le
164,457.903893064103,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
165,459.513415281106,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
166,460.08794442217584,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
167,462.0653672748824,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
168,464.05728691054844,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
169,465.6715392113711,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
170,469.53600455911203,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
171,470.77365547810166,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
172,472.7991746619088,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
173,473.8352323451397,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
174,475.6003393693758,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
175,476.7690152374845,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
176,483.8514272124825,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
177,488.3805670900174,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
178,489.66176157795616,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
179,491.398821593663,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
180,495.3588288221313,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
181,496.4296962157591,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
182,498.58078242968656,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
183,500.3090849416907,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
184,504.49977331342774,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
185,505.41523174224443,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
186,506.46415270952355,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
187,508.8007003364678,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
