n,partie_imaginaire,T_MAX,methode,step_adaptatif,n_workers,turing_complet,calcule_le
235,449.1485456850233,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
236,450.1269457803135,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
237,451.4033084453888,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
238,453.9867378066779,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
239,454.9746837686168,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
240,456.32842668924604,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
241,457.903893064103,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
242,459.513415281106,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
243,460.08794442217584,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
244,462.06536727488253,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
245,464.05728691054827,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
246,465.6715392113711,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
247,466.5702869308262,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
248,467.4390462102616,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
249,469.53600455911203,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
250,470.77365547810166,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
251,472.7991746619088,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
252,473.8352323451397,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
253,475.6003393693758,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
254,476.7690152374845,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
255,478.07526376667096,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
256,478.9421815346348,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
257,481.83033937628664,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
258,482.8347827909824,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
259,483.8514272124825,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
260,485.539148129356,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
261,486.52871826165125,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
262,488.38056709001745,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
263,489.66176157795616,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
264,491.398821593663,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
265,493.3144415817853,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
266,493.9579978053695,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
267,495.3588288221311,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
268,496.4296962157591,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
269,498.58078242968656,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
270,500.30908494169046,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
271,501.6044469651455,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
272,502.2762703271182,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
273,504.49977331342774,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
274,505.41523174224443,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
275,506.4641527095235,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
276,508.8007003364678,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
277,510.26422794367284,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
278,511.5622897003746,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
279,512.6231445314074,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
280,513.6689855554737,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
281,515.4350571672993,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
282,517.5896685724675,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
283,518.2342231475502,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
284,520.1063104117233,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
285,521.525193449492,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
286,522.4566961777301,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
287,523.9605308920159,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
288,525.0773856872796,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
289,527.9036416012723,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
290,528.4062138522927,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
291,529.806226318707,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
292,530.8669178839612,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
293,532.6881830282937,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
294,533.7796307537687,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
295,535.6643140758732,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
296,537.0697590831223,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
297,538.4285261762479,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
298,540.2131663762282,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
299,540.631390247295,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
300,541.8474371212012,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
301,544.3238901010053,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
302,545.6368332489349,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
303,547.0109120581222,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
304,547.9316133644894,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
305,549.4975675626614,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
306,550.9700100394839,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
