n,partie_imaginaire,T_MAX,version,methode_affinage,pas_balayage,calcule_le
265,493.3144415817853,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
266,493.9579978053695,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
267,495.3588288221313,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
268,496.4296962157591,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
269,498.58078242968656,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
270,500.3090849416905,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
271,501.6044469651455,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
272,502.27627032711825,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
273,504.49977331342774,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
274,505.41523174224443,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
275,506.46415270952355,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
276,508.8007003364678,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
277,510.26422794367284,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
278,511.5622897003746,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
279,512.6231445314074,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
280,513.6689855554737,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
281,515.4350571672994,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
282,517.5896685724674,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
283,518.2342231475501,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
284,520.1063104117233,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
285,521.525193449492,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
286,522.4566961777302,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
287,523.9605308920159,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
288,525.0773856872796,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
289,527.9036416012724,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
290,528.4062138522927,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
291,529.8062263187069,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
292,530.866917883961,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
293,532.6881830282937,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
294,533.7796307537687,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
295,535.6643140758732,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
296,537.0697590831223,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
297,538.4285261762479,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
298,540.2131663762282,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
299,540.6313902472951,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
300,541.8474371212013,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
301,544.3238901010053,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
302,545.6368332489349,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
303,547.0109120581222,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
304,547.9316133644893,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
305,549.4975675626614,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
306,550.9700100394839,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
307,552.0495722005649,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
308,553.7649721191589,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
309,555.7920205616825,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
310,556.8994764068553,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
311,557.5646591720586,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
312,559.3162370286822,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
313,560.2408074972957,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
314,562.5592076160458,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
315,564.1608791107861,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
316,564.5060559381499,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
317,566.698787682808,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
318,567.7317579011769,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
319,568.9239551796294,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
320,570.0511147824636,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
321,572.4199841324528,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
